"year","acep_energy_region","sector","avg_price","weighted_price"
2011,"Coastal","commercial",51.1743783783784,20.8627835755389
2012,"Coastal","commercial",51.0223157894737,20.4577737758731
2013,"Coastal","commercial",50.5873421052632,20.7364370872908
2014,"Coastal","commercial",49.493,21.4378460934775
2015,"Coastal","commercial",45.9021025641026,19.3850263134813
2016,"Coastal","commercial",43.5460256410256,19.4434703026099
2017,"Coastal","commercial",41.5836153846154,19.9440495626822
2018,"Coastal","commercial",44.7038648648649,19.9392315833683
2019,"Coastal","commercial",42.1323846153846,19.6734188846122
2020,"Coastal","commercial",45.1561470588235,15.7529400860642
2021,"Coastal","commercial",43.7925135135135,15.4313344289236
2011,"Coastal","other",52.7952857142857,40.2192931769723
2012,"Coastal","other",52.2191666666667,38.383381663113
2013,"Coastal","other",52.20225,38.1543582938388
2014,"Coastal","other",50.6370540540541,37.5066496350365
2015,"Coastal","other",47.2469189189189,34.7278802083333
2016,"Coastal","other",44.8503783783784,34.6751283464567
2017,"Coastal","other",45.3406944444444,33.4814158590308
2018,"Coastal","other",46.3566666666667,34.3994215091067
2019,"Coastal","other",45.5656111111111,33.8465465517241
2020,"Coastal","other",46.1220882352941,34.5204012219959
2021,"Coastal","other",46.2080857142857,35.2642181255277
2011,"Coastal","residential",23.6987027027027,17.1762134019846
2012,"Coastal","residential",23.4522894736842,17.0341877819778
2013,"Coastal","residential",23.6092631578947,16.8564993906897
2014,"Coastal","residential",24.0488717948718,16.360216252583
2015,"Coastal","residential",24.8903333333333,16.2968529147346
2016,"Coastal","residential",26.2546923076923,16.6832730090158
2017,"Coastal","residential",25.7390256410256,16.9843548523108
2018,"Coastal","residential",26.9224736842105,17.5717951643829
2019,"Coastal","residential",26.8279487179487,17.5881836478863
2020,"Coastal","residential",29.0539714285714,17.6634607511327
2021,"Coastal","residential",28.5346315789474,17.5345368118095
2011,"Railbelt","commercial",18.1446666666667,16.7779489748213
2012,"Railbelt","commercial",17.9144,16.181470253651
2013,"Railbelt","commercial",17.2148,15.4774850820298
2014,"Railbelt","commercial",17.916,17.3496843457087
2015,"Railbelt","commercial",18.3672,17.5939491357372
2016,"Railbelt","commercial",19.1966,18.5231538248678
2017,"Railbelt","commercial",20.4528,19.9170755851406
2018,"Railbelt","commercial",20.0608,19.4583117321494
2019,"Railbelt","commercial",20.4036,19.9567362067933
2020,"Railbelt","commercial",20.8562,19.7644773298182
2021,"Railbelt","commercial",21.38525,19.7204457026884
2011,"Railbelt","other",15.20975,19.1818791208791
2012,"Railbelt","other",17.7633333333333,20.9877297297297
2013,"Railbelt","other",16.553,18.6879206842924
2014,"Railbelt","other",13.9696666666667,18.0925520446097
2015,"Railbelt","other",13.7673333333333,15.9128464419476
2016,"Railbelt","other",14.399,16.909961038961
2017,"Railbelt","other",15.2736666666667,18.11314571949
2018,"Railbelt","other",15.236,18.6767191413238
2019,"Railbelt","other",14.8916666666667,17.9881738351255
2020,"Railbelt","other",15.069,16.9219323843416
2021,"Railbelt","other",14.5366666666667,18.0049982486865
2011,"Railbelt","residential",20.0848333333333,19.1439495845709
2012,"Railbelt","residential",19.2752,18.2715903188915
2013,"Railbelt","residential",18.9806,18.1080826844035
2014,"Railbelt","residential",20.7934,19.962861341767
2015,"Railbelt","residential",21.3644,20.7563419482005
2016,"Railbelt","residential",22.228,21.6858747708356
2017,"Railbelt","residential",23.668,23.0522391541312
2018,"Railbelt","residential",23.6778,23.0325875220389
2019,"Railbelt","residential",24.2196,23.4991492101456
2020,"Railbelt","residential",24.3894,23.552081731849
2021,"Railbelt","residential",24.2775,22.8948525964703
2011,"Rural Remote","commercial",68.9458714285714,54.1233975188781
2012,"Rural Remote","commercial",73.8813216783217,56.5171389722762
2013,"Rural Remote","commercial",71.7360069444444,55.7785278270117
2014,"Rural Remote","commercial",70.05542,56.4127515984655
2015,"Rural Remote","commercial",70.24158,52.0276678641411
2016,"Rural Remote","commercial",64.76864,46.7886962663976
2017,"Rural Remote","commercial",61.07246,44.3588470062851
2018,"Rural Remote","commercial",65.7214,48.2063687729856
2019,"Rural Remote","commercial",60.1691533333333,48.2551473399171
2020,"Rural Remote","commercial",67.7054926470588,60.6942435450105
2021,"Rural Remote","commercial",62.6921544117647,44.0897635135135
2011,"Rural Remote","other",69.3575035971223,64.9550415770609
2012,"Rural Remote","other",74.4226808510638,69.1189001077973
2013,"Rural Remote","other",72.1527692307692,66.6618743859649
2014,"Rural Remote","other",71.4361958041958,66.7097988542329
2015,"Rural Remote","other",70.7347655172414,64.8611822947001
2016,"Rural Remote","other",66.2961232876712,59.4353298065296
2017,"Rural Remote","other",65.0652380952381,57.1022715842414
2018,"Rural Remote","other",65.8083767123288,58.448174110953
2019,"Rural Remote","other",66.0336875,59.1873721198157
2020,"Rural Remote","other",66.9785448275862,53.4558026073402
2021,"Rural Remote","other",62.5580833333333,49.4363932443703
2011,"Rural Remote","residential",27.05085,23.9479167016268
2012,"Rural Remote","residential",27.5369370629371,23.8200532975285
2013,"Rural Remote","residential",26.7294513888889,22.873052182504
2014,"Rural Remote","residential",26.89796,23.6763065750908
2015,"Rural Remote","residential",29.63346,24.8086704655888
2016,"Rural Remote","residential",30.5037133333333,25.7550601972566
2017,"Rural Remote","residential",30.8219066666667,26.4901104282471
2018,"Rural Remote","residential",30.5021554054054,27.0119865970409
2019,"Rural Remote","residential",28.7225838926175,26.0783376175682
2020,"Rural Remote","residential",31.7505448275862,28.3826726939582
2021,"Rural Remote","residential",30.1409586206897,27.279455039884
