acep_energy_region,sector,year,avg_price,weighted_price
Coastal,commercial,2011,51.17443651402262,20.862898776453456
Coastal,commercial,2012,51.02236678605365,20.457951510337676
Coastal,commercial,2013,50.587353324478734,20.7362596446911
Coastal,commercial,2014,49.49293269955046,21.437853428351506
Coastal,commercial,2015,45.90213678152778,19.385034714844167
Coastal,commercial,2016,43.54600897255955,19.443539606092386
Coastal,commercial,2017,41.58358928448355,19.943953977114862
Coastal,commercial,2018,44.70378386542044,19.939160204682544
Coastal,commercial,2019,42.13231514764798,19.673470380363103
Coastal,commercial,2020,45.156130157352024,15.753120777915129
Coastal,commercial,2021,43.79258960858502,15.431487564138097
Coastal,other,2011,52.795335171549596,40.21937501313585
Coastal,other,2012,52.219187735356144,38.383421817681764
Coastal,other,2013,52.202289562449245,38.1543498589334
Coastal,other,2014,50.63699586701168,37.50660396318539
Coastal,other,2015,47.246951024242264,34.72789285422264
Coastal,other,2016,44.850354709266085,34.67519300518633
Coastal,other,2017,45.3407195006593,33.48151197512057
Coastal,other,2018,46.35659712682318,34.39946741550247
Coastal,other,2019,45.565498278041524,33.846475334960175
Coastal,other,2020,46.122069742434505,34.52038384174744
Coastal,other,2021,46.208161130787545,35.264247456321634
Coastal,residential,2011,23.69873605416948,17.17638783958712
Coastal,residential,2012,23.452386136747467,17.03424944077153
Coastal,residential,2013,23.609367538921475,16.85644827292917
Coastal,residential,2014,24.04885958993599,16.360240785748783
Coastal,residential,2015,24.89045289155901,16.297062290700673
Coastal,residential,2016,26.254678804357344,16.68336375314444
Coastal,residential,2017,25.738993328399538,16.984421686292634
Coastal,residential,2018,26.922524833863772,17.571936458248256
Coastal,residential,2019,26.827954597444286,17.588130864182737
Coastal,residential,2020,29.054035232567998,17.663474344951506
Coastal,residential,2021,28.534589115507774,17.534269436137066
Railbelt,commercial,2011,18.144772462433412,16.778061262085803
Railbelt,commercial,2012,17.91451989376995,16.18157215723005
Railbelt,commercial,2013,17.21480083280769,15.477473277350835
Railbelt,commercial,2014,17.915863859362393,17.34959187491852
Railbelt,commercial,2015,18.367063072991296,17.593878470569415
Railbelt,commercial,2016,19.196717721713664,18.523243323409567
Railbelt,commercial,2017,20.4527465738224,19.91703871955976
Railbelt,commercial,2018,20.061034457622036,19.45854731098493
Railbelt,commercial,2019,20.40375599643596,19.956887329187555
Railbelt,commercial,2020,20.856354167588123,19.764648562657374
Railbelt,commercial,2021,21.385237323615033,19.720528183154954
Railbelt,other,2011,15.209758188980397,19.181958327165916
Railbelt,other,2012,17.76334251070016,20.98757874898508
Railbelt,other,2013,16.552693108468933,18.687638699649373
Railbelt,other,2014,13.969687344476533,18.092629997549036
Railbelt,other,2015,13.767524030583049,15.912952098307706
Railbelt,other,2016,14.399145706336585,16.9101123478847
Railbelt,other,2017,15.273544758541181,18.11309639497835
Railbelt,other,2018,15.236010319924452,18.676289495902253
Railbelt,other,2019,14.891609036026583,17.987772570616755
Railbelt,other,2020,15.068870199020694,16.921696381684516
Railbelt,other,2021,14.536831977572227,18.00516064424636
Railbelt,residential,2011,20.08506237179994,19.144278983424144
Railbelt,residential,2012,19.275116341398046,18.271559305736293
Railbelt,residential,2013,18.980421431044377,18.107799413671245
Railbelt,residential,2014,20.793513499500847,19.962952206002416
Railbelt,residential,2015,21.364260976790945,20.7562711403324
Railbelt,residential,2016,22.227917705631302,21.685712811187813
Railbelt,residential,2017,23.668089689775403,23.05228854938693
Railbelt,residential,2018,23.677830995442534,23.03255817741715
Railbelt,residential,2019,24.219425083080967,23.499085915964255
Railbelt,residential,2020,24.389334160208683,23.552088946592548
Railbelt,residential,2021,24.2774516924253,22.894887436288993
Rural Remote,commercial,2011,68.94584988686141,54.1233610794193
Rural Remote,commercial,2012,73.88133857225297,56.51712941315141
Rural Remote,commercial,2013,71.73600008721189,55.77844884862799
Rural Remote,commercial,2014,70.05540359467076,56.412689941691035
Rural Remote,commercial,2015,70.24156146454742,52.027545971503265
Rural Remote,commercial,2016,64.76857751927305,46.78871802963451
Rural Remote,commercial,2017,61.072465005587226,44.358764046816674
Rural Remote,commercial,2018,65.72138088381428,48.20639147255399
Rural Remote,commercial,2019,60.169096243043626,48.255053130175426
Rural Remote,commercial,2020,67.7055086989389,60.6942553266095
Rural Remote,commercial,2021,62.6921185384906,44.08973972769421
Rural Remote,other,2011,69.35747951087974,64.95500115658226
Rural Remote,other,2012,74.42269576121774,69.11883732466454
Rural Remote,other,2013,72.15276483178765,66.66185752092527
Rural Remote,other,2014,71.43617722683103,66.70973473790934
Rural Remote,other,2015,70.73474906301085,64.8611234300464
Rural Remote,other,2016,66.29605978388554,59.43530080140875
Rural Remote,other,2017,65.06525057288265,57.10224489694002
Rural Remote,other,2018,65.80835072308977,58.44816456118143
Rural Remote,other,2019,66.03363391310661,59.18732116738618
Rural Remote,other,2020,66.97855925263887,53.45584846563004
Rural Remote,other,2021,62.55805765993266,49.43641109805311
Rural Remote,residential,2011,27.05082555956285,23.947855465591946
Rural Remote,residential,2012,27.53701318538684,23.820139718254747
Rural Remote,residential,2013,26.72953405663872,22.873114136393117
Rural Remote,residential,2014,26.897967707891745,23.67627526796033
Rural Remote,residential,2015,29.63345651848063,24.80867507001877
Rural Remote,residential,2016,30.503686325281425,25.754993631603234
Rural Remote,residential,2017,30.821872000067238,26.490105382929364
Rural Remote,residential,2018,30.50212760655572,27.011952496675665
Rural Remote,residential,2019,28.72260888947339,26.078316406450657
Rural Remote,residential,2020,31.75054876458508,28.382634956508106
Rural Remote,residential,2021,30.140935092302335,27.279484440923905
